home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,stadium_name,Defence_line,Home_ground_effect,Tempo_home,Tempo,Transition_Defence_Attack,matches_played,matches_played_away,matches_played_home,wins,wins_away,wins_home,draws_away,draws_home,losses,losses_away,losses_home,points_per_game_away,points_per_game,points_per_game_home,league_position,league_position_away,league_position_home,performance_rank,Attack_goals,Defence_goals_conceded,goal_difference,total_goal_count_away,Attack_goals_away,total_goal_count_home,Attack_goals_home,Defence_goals_conceded_away,Defence_goals_conceded_home,clean_sheets,clean_sheets_away,clean_sheets_home,btts_count,btts_count_away,btts_count_home,corners_total,corners_total_home,corners_total_home,average_possession,average_possession_away,average_possession_home,shots,shots_away,shots_home,shots_on_target,shots_on_target_away,shots_on_target_home,fouls,fouls_home,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,Status_home_away
Liverpool,West Ham United,0,0,2.79,1.11,4,0,4,2,2,0,5,4,1,0,2,0,1,0,0,2,16,5,9,3,7,2,14,9,64,36,0,0,2.12,0.75,0,0,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Brighton & Hove Albion,3,0,2.79,0.68,1,0,1,1,1,0,8,5,1,0,1,0,0,1,0,1,16,5,9,3,7,2,8,14,70,30,2.12,0.65,2.26,0.76,3,0,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Southampton,3,1.5,2.79,0.84,3,0,3,3,3,0,5,5,0,0,2,0,0,0,1,1,10,3,5,2,5,1,7,10,60,40,2.19,1.5,1.41,0.61,2.5,25,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Manchester City,3,2.33,2.79,2.32,0,0,0,0,0,0,2,6,1,0,3,0,0,1,1,2,7,6,3,3,4,3,10,10,49,51,1.93,1.96,0.99,0.91,2.84,17,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Draw_home
Liverpool,Cardiff City,2.5,0.25,2.79,0.74,4,1,5,1,1,0,8,0,0,0,0,0,0,0,0,0,14,3,8,2,6,1,6,4,79,21,1.69,1.16,2.06,0.53,2,13,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Fulham,2.6,0.17,2.79,0.26,2,0,2,1,1,0,6,3,1,0,1,0,0,1,0,1,15,8,8,4,7,4,11,9,73,27,1.77,0.96,1.95,1.01,3.05,35,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Everton,2.67,1,2.79,1.05,1,0,1,0,0,0,8,1,3,0,2,0,1,2,0,2,14,8,4,4,10,4,12,7,57,43,1.8,1.36,1.7,1.07,2.59,42,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Manchester United,2.71,1.38,2.79,1.58,3,1,4,2,1,1,13,2,0,0,2,0,0,0,2,0,23,6,12,3,11,3,6,14,64,36,1.78,1.34,2.99,0.8,2.96,51,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Newcastle United,2.75,1.25,2.79,1.05,4,0,4,1,1,0,10,2,0,0,0,0,0,0,0,0,13,7,9,3,4,4,7,10,75,25,1.93,1.1,1.97,0.87,2.13,38,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Crystal Palace,2.8,1.18,2.79,1.53,4,3,7,1,0,1,8,3,1,1,1,0,0,2,1,0,17,7,10,4,7,3,6,8,70,30,1.94,1.21,2.49,0.9,2.91,43,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Leicester City,2.82,1.42,2.79,1.32,1,1,2,2,1,1,7,1,1,0,3,0,1,0,1,2,9,5,4,3,5,2,13,6,72,28,1.99,1.35,1.51,0.79,3.06,47,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Draw_home
Liverpool,AFC Bournemouth,2.67,0.75,2.79,0.84,3,0,3,2,2,0,8,5,2,0,2,0,0,2,2,0,16,8,10,3,6,5,14,6,65,35,1.95,1.35,2.29,1,3.25,38,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Watford,2.69,1.43,2.79,1.21,5,0,5,2,2,0,6,4,0,0,2,0,0,0,0,2,15,5,11,4,4,1,5,7,61,39,1.98,1.24,2.31,0.83,3.01,48,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Burnley,2.71,0.87,2.79,0.89,4,2,6,3,2,1,7,3,2,0,0,0,1,1,0,0,14,3,6,3,8,0,4,7,68,32,2,1,1.88,0.75,3.05,42,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Tottenham Hotspur,2.73,2.06,2.79,1.74,2,1,3,1,1,0,10,3,0,0,1,0,0,0,0,1,12,10,4,3,8,7,5,8,48,52,2,1.41,1.4,1.15,3.36,48,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Chelsea,2.75,1.75,2.79,1.58,2,0,2,0,0,0,9,2,0,0,1,0,0,0,1,0,11,6,8,4,3,2,5,9,61,39,1.96,1.56,1.87,0.96,3.22,44,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Huddersfield Town,2.76,0.35,2.79,0.37,5,0,5,3,3,0,4,4,0,0,0,0,0,0,0,0,20,4,8,2,12,2,5,14,70,30,1.95,1.14,2.11,0.62,3.18,41,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Wolverhampton Wanderers,2.78,1.28,2.79,1.21,2,0,2,1,1,0,4,1,0,0,2,0,0,0,0,2,11,7,6,3,5,4,3,11,59,41,1.96,1.27,1.4,0.92,2.92,50,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Chelsea,Arsenal,0,0,2.21,1.32,3,2,5,4,2,2,5,1,0,0,2,0,0,0,1,1,19,13,12,7,7,6,12,9,62,38,0,0,2.47,1.61,0,0,Stamford Bridge,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Cardiff City,Arsenal,1,0,1.05,1.32,2,3,5,2,1,1,3,9,3,0,4,0,0,3,1,3,14,16,4,12,10,4,12,14,27,73,1.03,1.61,1.49,2.35,2.5,50,Cardiff City Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
Newcastle United,Arsenal,0,1.5,1.32,1.32,1,2,3,0,0,0,10,4,0,0,0,0,0,0,0,0,3,8,3,3,0,5,13,11,36,64,0.93,1.98,0.7,1.09,4,100,St. James' Park,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
Fulham,Arsenal,1,2,1.11,1.32,1,5,6,2,1,1,4,2,2,0,0,0,0,2,0,0,13,10,5,8,8,2,11,12,48,52,1.86,1.68,1.53,1.56,3.83,84,Craven Cottage,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
Crystal Palace,Arsenal,0.25,2.25,1.05,1.32,2,2,4,1,1,0,6,4,1,0,2,0,1,0,0,2,15,6,4,3,11,3,10,16,42,58,1.48,1.65,1.62,0.9,3,50,Selhurst Park,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Draw_away
AFC Bournemouth,Arsenal,1.83,2,1.53,1.32,1,2,3,2,1,1,5,8,2,0,1,0,0,2,1,0,8,16,6,5,2,11,6,9,41,59,1.43,1.5,1.18,1.88,3.8,84,Vitality Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
Manchester United,Arsenal,1.83,2.17,1.89,1.32,2,2,4,2,1,1,4,4,3,0,3,0,3,0,2,1,8,7,8,5,0,2,13,10,44,56,1.79,1.56,1.34,1.12,3.5,84,Old Trafford,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Draw_away
Southampton,Arsenal,0.71,2,1.21,1.32,3,2,5,3,2,1,4,5,3,0,1,0,0,3,0,1,9,9,8,5,1,4,12,10,33,67,1.56,1.5,1.35,1.34,3.29,79,St. Mary's Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Brighton & Hove Albion,Arsenal,1.75,1.75,1.21,1.32,1,1,2,2,1,1,4,9,2,0,1,0,1,1,0,1,12,6,4,5,8,1,10,4,32,68,1.15,1.48,1.35,1.15,3.63,88,The American Express Community Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Draw_away
West Ham United,Arsenal,1.27,1.5,1.63,1.32,1,0,1,0,0,0,7,3,0,0,2,0,0,0,0,2,11,11,4,3,7,8,7,10,41,59,1.53,1.39,1.37,1.2,3.7,78,London Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Manchester City,Arsenal,2.75,1.36,2.84,1.32,3,1,4,3,2,1,4,2,1,0,1,0,0,1,1,0,16,3,13,3,3,0,11,8,58,42,2.19,1.37,2.42,0.55,4.09,79,Etihad Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Huddersfield Town,Arsenal,0.38,1.25,0.47,1.32,1,2,3,2,0,2,5,0,3,0,2,0,1,2,0,2,14,9,8,5,6,4,17,12,54,46,1.22,1.3,1.92,1.09,2.96,62,John Smith's Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
Tottenham Hotspur,Arsenal,2.08,1.38,2,1.32,1,1,2,1,0,1,3,4,3,0,2,1,0,3,0,3,11,7,4,5,7,2,15,14,60,40,1.65,1.29,1.32,1.1,3.35,73,Wembley Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Draw_away
Everton,Arsenal,1.56,1.36,1.79,1.32,1,0,1,1,1,0,9,6,1,0,4,0,0,1,2,2,16,6,7,3,9,3,8,9,42,58,1.48,1.27,1.97,0.98,3.27,72,Goodison Park,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Watford,Arsenal,1.73,1.27,1.42,1.32,0,1,1,1,0,1,6,4,2,1,0,0,1,2,0,0,7,12,4,6,3,6,12,8,34,66,1.34,1.25,1.07,1.61,3.24,74,Vicarage Road,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
Wolverhampton Wanderers,Arsenal,1.65,1.38,1.79,1.32,3,1,4,3,3,0,5,5,2,0,3,0,1,1,3,0,9,6,4,2,5,4,12,9,29,71,1.46,1.28,1.01,1.03,3.02,61,Molineux Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Leicester City,Arsenal,1.35,1.29,1.42,1.32,3,0,3,0,0,0,8,6,3,0,2,1,1,2,2,1,19,5,13,2,6,3,13,13,67,33,1.62,1.26,2.68,0.74,2.94,68,King Power Stadium,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Win_away
Burnley,Arsenal,1.28,1.22,1.21,1.32,1,3,4,0,0,0,4,5,5,0,1,0,3,2,0,1,12,11,6,7,6,4,11,3,39,61,1.24,1.23,1.57,1.63,3.17,67,Turf Moor,High_Block,Positive,High,High,Medium,38,19,0,21,7,0,4,3,10,8,2,1.32,1.84,2.37,5,8,3,5,73,51,22,66,31,58,42,35,16,8,1,7,26,15,11,209,84,125,58,56,61,377,167,210,208,92,116,412,218,1.43,1.6,1.25,Loss_away
